DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"315410 RECREIO";-;6;61;20;12;1;8;7;10;-;122;368;113;728
"315415 REDUTO";-;8;4;49;-;-;12;-;-;-;197;440;5;715
"315420 RESENDE COSTA";-;1;1;7;-;-;8;-;-;-;3;1589;2;1611
"315430 RESPLENDOR";-;5;40;238;53;10;56;423;43;8;115;370;24;1385
"315440 RESSAQUINHA";-;1;2;2;-;-;-;-;-;-;-;339;6;350
"315445 RIACHINHO";-;3;1;1;75;3;432;98;12;65;125;399;14;1228
"315450 RIACHO DOS MACHADOS";-;-;21;8;1;4;24;6;10;509;43;308;75;1009
"315460 RIBEIRAO DAS NEVES";1;177;1882;11729;114;129;13864;287;51;323;6249;38692;732;74230
"315470 RIBEIRAO VERMELHO";-;6;419;8;-;-;20;78;4;41;601;60;178;1415
"315480 RIO ACIMA";-;11;12;465;5;3;59;11;10;70;317;1476;159;2598
"315490 RIO CASCA";-;54;18;90;6;3;91;54;4;12;692;728;428;2180
"315500 RIO DOCE";-;-;-;5;1;-;1;1;-;3;50;31;126;218
"315510 RIO DO PRADO";-;-;66;35;-;-;38;38;2;2;86;165;3;435
"315520 RIO ESPERA";-;-;-;1;-;2;42;-;-;3;1;298;2;349
"315530 RIO MANSO";-;2;303;234;4;4;135;25;16;18;15;1108;13;1877
"315540 RIO NOVO";-;3;9;124;30;10;112;24;3;-;21;229;113;678
"315550 RIO PARANAIBA";-;69;229;203;7;3;74;39;16;148;218;3004;83;4093
"315560 RIO PARDO DE MINAS";-;2;5;8;3;1;34;7;-;180;17;1072;117;1446
"315570 RIO PIRACICABA";-;-;7;153;-;1;51;3;2;2;173;1837;187;2416
"315580 RIO POMBA";-;10;448;636;35;27;409;157;9;141;1017;579;318;3786
"315590 RIO PRETO";-;-;-;19;-;-;2;1;2;4;2;219;38;287
"315600 RIO VERMELHO";-;-;28;7;1;-;105;2;3;1;62;373;5;587
"315610 RITAPOLIS";-;5;-;20;-;1;9;2;7;10;7;478;15;554
"315620 ROCHEDO DE MINAS";-;3;51;3;1;2;20;3;-;2;14;189;27;315
"315630 RODEIRO";-;-;14;331;8;172;136;273;22;8;139;792;235;2130
"315640 ROMARIA";-;3;43;24;1;3;123;4;31;77;87;175;16;587
"315645 ROSARIO DA LIMEIRA";-;1;1;13;2;1;2;1;-;1;77;37;23;159
"315650 RUBELITA";-;1;9;105;-;2;46;27;-;11;103;529;14;847
"315660 RUBIM";-;15;5;206;3;-;6;160;1;72;1;335;21;825
"315670 SABARA";6;381;477;10164;310;183;6605;687;174;359;4213;20283;1985;45827
"315680 SABINOPOLIS";-;2;7;30;2;1;21;14;5;2;329;1060;14;1487
"315690 SACRAMENTO";-;26;417;577;12;65;313;85;6;1509;434;2608;213;6265
"315700 SALINAS";-;9;27;227;3;3;864;596;13;117;1196;2771;36;5862
"315710 SALTO DA DIVISA";-;3;3;4;20;3;-;2;-;149;97;154;9;444
"315720 SANTA BARBARA";1;42;91;373;8;8;38;23;3;1;1743;3313;31;5675
"315725 SANTA BARBARA DO LESTE";-;-;-;7;4;-;2;49;-;9;58;148;6;283
"315727 SANTA BARBARA DO MONTE VERDE";-;-;-;6;-;-;1;-;-;-;-;211;43;261
"315730 SANTA BARBARA DO TUGURIO";-;-;-;127;-;-;1;-;-;-;12;175;126;441
"315733 SANTA CRUZ DE MINAS";-;18;19;385;3;5;55;46;21;49;113;1374;10;2098
"315737 SANTA CRUZ DE SALINAS";-;1;8;170;-;-;43;17;1;3;5;141;15;404
"315740 SANTA CRUZ DO ESCALVADO";-;1;1;8;-;-;6;3;1;-;167;109;41;337
"315750 SANTA EFIGENIA DE MINAS";-;-;1;-;2;1;7;1;1;2;138;236;8;397
"315760 SANTA FE DE MINAS";-;38;13;22;6;4;178;28;14;41;188;97;17;646
"315765 SANTA HELENA DE MINAS";-;1;1;2;-;6;12;7;-;1;10;132;2;174
"315770 SANTA JULIANA";-;11;19;128;5;44;187;71;52;233;197;804;103;1854
"315780 SANTA LUZIA";-;112;477;3629;131;117;5492;1120;298;279;5483;20495;940;38573
"315790 SANTA MARGARIDA";1;32;10;94;2;-;7;29;-;2;147;480;9;813
"315800 SANTA MARIA DE ITABIRA";-;-;1;18;-;1;8;39;1;2;100;2205;19;2394
"315810 SANTA MARIA DO SALTO";-;-;-;11;1;1;-;-;-;11;5;120;86;235
"315820 SANTA MARIA DO SUACUI";-;63;13;137;3;-;80;38;201;552;9;581;66;1743
"315830 SANTANA DA VARGEM";-;-;26;5;5;9;32;13;5;2;69;816;23;1005
"315840 SANTANA DE CATAGUASES";-;-;2;18;1;-;12;1;67;3;22;161;29;316
"315850 SANTANA DE PIRAPAMA";-;-;242;216;6;-;95;35;1;3;14;576;15;1203
"315860 SANTANA DO DESERTO";-;-;-;103;-;-;7;13;-;3;22;300;38;486
"315870 SANTANA DO GARAMBEU";-;-;-;-;-;-;-;-;-;-;1;11;3;15
"315880 SANTANA DO JACARE";-;56;8;12;-;3;3;76;1;1;859;424;139;1582
"315890 SANTANA DO MANHUACU";-;-;-;2;1;-;1;11;-;2;21;194;22;254
"315895 SANTANA DO PARAISO";-;56;73;596;79;483;146;209;124;192;2287;1558;168;5971
"315900 SANTANA DO RIACHO";-;8;45;433;9;7;144;13;1;2;160;447;8;1277
"315910 SANTANA DOS MONTES";-;-;-;6;-;1;8;-;1;2;13;781;1;813
"315920 SANTA RITA DE CALDAS";-;-;8;4;-;-;3;-;-;2;-;58;26;101
"315930 SANTA RITA DE JACUTINGA";-;1;1;1;-;-;2;-;-;-;10;402;5;422
"315935 SANTA RITA DE MINAS";-;-;-;29;-;3;2;11;-;42;144;79;4;314
"315940 SANTA RITA DE IBITIPOCA";-;-;-;5;-;-;-;-;-;-;1;38;3;47
"315950 SANTA RITA DO ITUETO";-;2;3;8;9;-;5;3;1;5;7;551;19;613
"315960 SANTA RITA DO SAPUCAI";-;14;662;25;2;1;45;6;5;6;11;5801;842;7420
"315970 SANTA ROSA DA SERRA";-;5;125;9;5;-;5;-;-;3;10;186;5;353
"315980 SANTA VITORIA";-;156;30;120;59;84;104;107;522;106;806;1045;257;3396
"315990 SANTO ANTONIO DO AMPARO";-;20;21;51;-;1;103;2;1;2;870;2014;23;3108
"316000 SANTO ANTONIO DO AVENTUREIRO";-;3;-;28;-;-;2;-;3;1;24;420;101;582
"316010 SANTO ANTONIO DO GRAMA";-;3;19;11;-;-;34;110;1;-;142;208;32;560
"316020 SANTO ANTONIO DO ITAMBE";-;-;1;25;1;-;27;1;4;4;38;270;12;383
"316030 SANTO ANTONIO DO JACINTO";-;1;1;11;25;3;27;6;1;1;344;247;151;818
"316040 SANTO ANTONIO DO MONTE";-;111;823;142;4;8;201;591;83;67;285;1165;41;3521
"316045 SANTO ANTONIO DO RETIRO";-;11;1;12;-;-;45;1;-;11;4;461;4;550
"316050 SANTO ANTONIO DO RIO ABAIXO";-;-;-;-;-;1;-;-;-;-;2;169;1;173
"316060 SANTO HIPOLITO";-;-;2;109;5;2;53;-;5;19;68;383;25;671
"316070 SANTOS DUMONT";-;4;14;250;3;1;42;1;1;7;44;1697;16;2080
"316080 SAO BENTO ABADE";-;-;11;9;14;-;-;-;-;-;-;443;34;511
"316090 SAO BRAS DO SUACUI";-;-;-;12;1;4;14;10;7;3;35;721;55;862
"316095 SAO DOMINGOS DAS DORES";-;-;-;3;-;-;1;3;1;1;36;208;16;269
"316100 SAO DOMINGOS DO PRATA";-;19;19;131;2;10;73;27;1;1;46;2907;29;3265
"316105 SAO FELIX DE MINAS";-;-;6;36;1;2;3;3;-;-;41;36;2;130
"316110 SAO FRANCISCO";1;139;163;559;201;39;917;55;3;81;793;3923;269;7143
"316120 SAO FRANCISCO DE PAULA";-;6;7;9;-;-;8;-;-;23;93;1519;6;1671
"316130 SAO FRANCISCO DE SALES";-;184;59;33;2;4;204;9;-;177;34;290;276;1272
"316140 SAO FRANCISCO DO GLORIA";-;-;1;140;2;-;5;1;2;1;144;504;237;1037
"316150 SAO GERALDO";-;5;25;397;11;137;37;12;3;1;363;488;440;1919
"316160 SAO GERALDO DA PIEDADE";-;1;39;110;-;-;-;95;-;3;2;141;18;409
"316165 SAO GERALDO DO BAIXIO";1;3;1;18;2;-;26;39;9;2;13;41;-;155
"316170 SAO GONCALO DO ABAETE";-;21;1;276;4;11;103;18;24;41;190;149;7;845
"316180 SAO GONCALO DO PARA";-;87;36;144;42;3;487;15;3;16;160;652;106;1751
"316190 SAO GONCALO DO RIO ABAIXO";-;2;3;57;2;1;84;15;47;9;1611;2346;89;4266
"316200 SAO GONCALO DO SAPUCAI";-;9;282;10;13;4;20;36;3;38;12;3845;21;4293
"316210 SAO GOTARDO";-;175;292;3962;6;1;611;107;12;77;648;6894;133;12918
"316220 SAO JOAO BATISTA DO GLORIA";-;113;64;49;-;2;66;57;-;313;329;463;62;1518
"316225 SAO JOAO DA LAGOA";-;-;4;46;5;6;59;-;-;1;94;277;38;530
"316230 SAO JOAO DA MATA";-;1;-;-;-;-;-;-;1;9;1;160;9;181
"316240 SAO JOAO DA PONTE";-;5;67;498;24;45;648;31;22;15;84;1176;27;2642
"316245 SAO JOAO DAS MISSOES";-;3;15;9;-;59;129;1;3;33;22;761;20;1055
"316250 SAO JOAO DEL REI";-;676;257;1665;33;54;621;67;197;198;1055;14827;77;19727
"316255 SAO JOAO DO MANHUACU";-;4;-;12;-;-;3;-;-;-;168;610;3;800
"316257 SAO JOAO DO MANTENINHA";-;-;74;84;2;-;71;74;9;3;387;352;12;1068
"316260 SAO JOAO DO ORIENTE";-;4;2;260;5;3;5;24;2;73;478;365;51;1272
"316265 SAO JOAO DO PACUI";-;1;3;15;-;11;49;8;-;22;40;368;1;518
"316270 SAO JOAO DO PARAISO";-;2;1;9;-;3;6;3;2;57;1;978;25;1087
"316280 SAO JOAO EVANGELISTA";-;4;14;578;1;-;116;5;1;1;95;847;34;1696
"316290 SAO JOAO NEPOMUCENO";-;50;119;1005;44;17;1885;51;15;19;1781;1362;938;7286
"316292 SAO JOAQUIM DE BICAS";-;24;1019;1035;35;7;1677;87;12;24;663;2148;6;6737
"316294 SAO JOSE DA BARRA";-;9;4;4;12;-;48;7;5;10;488;601;61;1249
"316295 SAO JOSE DA LAPA";-;6;39;296;2;25;748;195;22;93;383;2027;100;3936
"316300 SAO JOSE DA SAFIRA";-;1;25;29;24;3;79;62;16;11;126;133;53;562
"316310 SAO JOSE DA VARGINHA";-;114;5;255;-;8;78;225;7;2;28;151;17;890
"316320 SAO JOSE DO ALEGRE";-;-;4;4;-;-;2;3;-;1;13;481;12;520
"316330 SAO JOSE DO DIVINO";-;-;-;35;5;-;10;29;-;1;82;226;1;389
"316340 SAO JOSE DO GOIABAL";-;4;88;104;-;1;107;145;17;14;209;410;67;1166
"316350 SAO JOSE DO JACURI";-;1;-;22;-;-;41;5;-;10;1;394;7;481
"316360 SAO JOSE DO MANTIMENTO";-;-;-;5;-;-;-;7;-;50;40;81;-;183
"316370 SAO LOURENCO";1;1;24;37;-;1;9;147;2;4;38;7032;39;7335
"316380 SAO MIGUEL DO ANTA";-;2;5;33;-;-;9;-;-;1;17;397;17;481
"316390 SAO PEDRO DA UNIAO";-;3;4;3;1;1;4;4;2;1;17;203;17;260
"316400 SAO PEDRO DOS FERROS";-;6;4;140;3;1;107;297;-;1;100;1121;57;1837
"316410 SAO PEDRO DO SUACUI";-;52;13;17;-;-;30;-;2;26;7;235;-;382
"316420 SAO ROMAO";-;-;7;161;8;6;219;2;-;5;278;288;25;999
"316430 SAO ROQUE DE MINAS";-;1;25;54;1;6;5;-;2;281;38;874;48;1335
"316440 SAO SEBASTIAO DA BELA VISTA";-;-;4;7;-;-;-;-;-;4;2;316;14;347
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";-;-;-;7;-;2;1;-;-;-;36;154;14;214
"316447 SAO SEBASTIAO DO ANTA";-;-;1;44;-;3;57;-;-;2;1;247;1;356
"316450 SAO SEBASTIAO DO MARANHAO";-;-;3;75;-;2;9;1;96;128;5;158;1;478
"316460 SAO SEBASTIAO DO OESTE";-;14;51;57;2;2;54;93;10;5;250;1659;25;2222
"316470 SAO SEBASTIAO DO PARAISO";-;60;1254;395;20;62;1807;233;58;1265;5349;5012;1329;16844
"316480 SAO SEBASTIAO DO RIO PRETO";-;-;-;1;-;-;-;1;-;-;1;127;9;139
"316490 SAO SEBASTIAO DO RIO VERDE";-;-;2;-;1;1;1;2;-;-;2;125;18;152
"316500 SAO TIAGO";-;13;81;22;3;3;9;14;2;2;62;556;14;781
"316510 SAO TOMAS DE AQUINO";-;-;4;46;-;1;222;25;3;202;36;617;75;1231
"316520 SAO THOME DAS LETRAS";-;1;4;13;4;3;3;-;-;152;10;365;1;556
"316530 SAO VICENTE DE MINAS";-;1;1;2;1;-;7;2;1;-;6;1430;7;1458
"316540 SAPUCAI-MIRIM";-;2;18;11;-;3;2;2;1;1;2;546;15;603
"316550 SARDOA";-;2;6;11;2;1;1;3;-;3;33;39;9;110
"316553 SARZEDO";-;62;749;2219;25;12;2145;68;26;21;551;2689;145;8712
"316555 SETUBINHA";-;1;-;128;87;2;22;22;3;3;19;299;1;587
"316556 SEM-PEIXE";-;4;34;55;-;-;3;1;1;-;138;191;2;429
"316557 SENADOR AMARAL";-;2;6;-;1;-;-;-;-;1;-;7;-;17
"316560 SENADOR CORTES";-;-;-;14;-;1;42;-;1;14;7;366;137;582
"316570 SENADOR FIRMINO";-;-;12;167;10;24;29;18;-;1;19;68;33;381
"316580 SENADOR JOSE BENTO";-;-;1;-;-;-;1;-;-;-;-;27;10;39
"316590 SENADOR MODESTINO GONCALVES";-;-;-;3;-;-;12;31;2;82;8;495;9;642
"316600 SENHORA DE OLIVEIRA";-;-;1;8;-;2;5;-;-;2;9;674;4;705
"316610 SENHORA DO PORTO";-;1;1;1;-;1;1;-;-;2;6;381;8;402
"316620 SENHORA DOS REMEDIOS";-;3;5;2;1;-;5;1;-;-;1;107;22;147
"316630 SERICITA";-;-;1;85;1;-;14;1;-;1;20;244;4;371
"316640 SERITINGA";-;1;1;3;1;1;-;-;1;-;-;66;-;74
"316650 SERRA AZUL DE MINAS";-;-;3;72;-;-;4;-;-;1;5;359;6;450
"316660 SERRA DA SAUDADE";-;1;10;2;2;4;1;-;-;-;15;138;8;181
"316670 SERRA DOS AIMORES";-;7;72;248;17;8;19;58;2;18;36;376;21;882
"316680 SERRA DO SALITRE";-;3;23;23;1;5;96;41;14;19;414;1467;47;2153
"316690 SERRANIA";-;1;24;47;12;7;5;8;-;3;18;1035;24;1184
"316695 SERRANOPOLIS DE MINAS";-;-;2;1;2;4;3;1;1;83;3;382;12;494
"316700 SERRANOS";-;-;-;-;-;-;-;-;-;1;-;14;1;16
"316710 SERRO";-;3;21;85;3;2;101;42;9;22;147;4585;53;5073
"316720 SETE LAGOAS";-;77;1033;11565;43;42;7783;1158;42;29;4130;14624;40;40566
"316730 SILVEIRANIA";-;-;7;22;2;-;7;8;-;-;175;76;92;389
"316740 SILVIANOPOLIS";-;-;8;-;-;1;-;1;-;1;1;269;215;496
"316750 SIMAO PEREIRA";-;-;-;23;-;-;2;-;-;4;313;191;11;544
"316760 SIMONESIA";-;2;15;68;-;1;7;6;3;11;82;929;12;1136
"316770 SOBRALIA";-;4;7;46;1;1;10;2;6;4;118;259;13;471
"316780 SOLEDADE DE MINAS";-;1;1;4;3;-;1;20;-;-;1;445;4;480
"316790 TABULEIRO";-;1;16;222;6;3;252;8;1;2;69;232;25;837
"316800 TAIOBEIRAS";-;1;48;160;6;5;218;41;8;75;30;2642;172;3406
"316805 TAPARUBA";-;-;-;108;1;1;127;75;-;139;2;195;23;671
"316810 TAPIRA";-;1;4;7;1;-;-;-;-;93;58;116;7;287
"316820 TAPIRAI";-;-;10;3;-;-;1;2;-;-;-;27;-;43
"316830 TAQUARACU DE MINAS";-;1;76;50;2;-;194;5;2;-;11;962;3;1306
"316840 TARUMIRIM";-;7;6;6;41;7;6;38;1;-;104;561;2;779
"316850 TEIXEIRAS";-;-;-;134;2;1;3;2;-;5;327;275;55;804
"316860 TEOFILO OTONI";2;451;620;3952;1422;91;299;1816;39;494;3038;5626;1539;19389
"316870 TIMOTEO";-;58;206;1651;248;614;258;669;396;599;5110;973;189;10971
"316880 TIRADENTES";-;2;8;74;3;-;207;5;2;1;125;2134;55;2616
"316890 TIROS";-;2;3;158;2;-;26;164;4;43;578;729;27;1736
"316900 TOCANTINS";-;13;227;871;26;149;556;1233;103;6;244;1496;331;5255
"316905 TOCOS DO MOJI";-;-;1;-;1;-;-;-;-;1;1;19;15;38
"316910 TOLEDO";-;-;1;2;2;-;1;-;-;4;9;105;14;138
"316920 TOMBOS";-;1;20;186;-;1;17;-;1;-;235;618;157;1236
"316930 TRES CORACOES";-;894;1232;645;1026;4;98;69;72;59;669;9737;113;14618
"316935 TRES MARIAS";-;565;26;163;23;115;726;95;54;31;599;2412;119;4928
"316940 TRES PONTAS";-;46;1487;526;223;31;1663;18;11;6;432;9158;359;13960
"316950 TUMIRITINGA";-;1;3;80;28;9;81;136;4;4;19;90;50;505
"316960 TUPACIGUARA";-;266;528;1005;46;26;81;30;4;636;118;991;1235;4966
"316970 TURMALINA";-;1;13;504;526;6;163;162;175;43;58;3112;121;4884
"316980 TURVOLANDIA";-;-;17;4;1;-;5;-;-;-;-;242;5;274
"316990 UBA";-;23;2413;3507;226;1739;475;1359;170;113;1057;6057;2679;19818
"317000 UBAI";-;12;52;105;-;4;629;10;7;19;188;531;41;1598
"317005 UBAPORANGA";-;9;17;105;1;5;4;167;1;6;112;558;5;990
"317010 UBERABA";13;311;1345;2254;109;247;1278;1387;272;1185;5817;3277;6551;24046
"317020 UBERLANDIA";8;4405;16735;9449;1769;1972;30993;1989;687;5105;28097;26990;26820;155019
"317030 UMBURATIBA";-;2;2;3;2;-;3;12;-;1;12;24;3;64
"317040 UNAI";-;2290;6049;914;226;1188;3978;2005;834;3435;2704;7451;591;31665
"317043 UNIAO DE MINAS";-;14;33;47;-;3;55;39;28;42;87;63;206;617
"317047 URUANA DE MINAS";-;119;76;53;10;2;58;9;17;82;57;405;13;901
"317050 URUCANIA";-;-;46;287;3;3;24;1;3;2;266;395;71;1101
"317052 URUCUIA";-;10;20;9;1;5;383;29;1;242;195;1251;60;2206
"317057 VARGEM ALEGRE";-;-;38;212;9;6;10;124;3;2;351;178;12;945
"317060 VARGEM BONITA";-;10;6;-;-;1;8;-;-;76;11;230;28;370
"317065 VARGEM GRANDE DO RIO PARDO";-;-;-;5;-;-;5;1;-;4;5;38;3;61
"317070 VARGINHA";-;84;926;3068;411;42;134;85;13;45;2097;33479;324;40708
"317075 VARJAO DE MINAS";-;3;3;11;3;2;83;43;9;49;127;632;19;984
"317080 VARZEA DA PALMA";2;8;47;398;12;25;1849;160;36;275;1739;2297;313;7161
"317090 VARZELANDIA";-;1;10;95;524;39;513;5;2;23;98;1010;19;2339
"317100 VAZANTE";-;88;62;247;6;47;742;95;22;121;1261;1436;174;4301
"317103 VERDELANDIA";-;1;4;29;2;25;31;1;20;3;21;47;9;193
"317107 VEREDINHA";-;-;-;94;-;-;4;2;-;2;116;673;128;1019
"317110 VERISSIMO";-;5;38;17;1;4;235;17;3;26;38;40;76;500
"317115 VERMELHO NOVO";-;-;-;2;-;-;-;2;-;-;147;247;3;401
"317120 VESPASIANO";7;294;109;1569;18;22;357;51;75;72;890;2059;188;5711
"317130 VICOSA";-;16;145;3248;10;15;706;24;4;50;605;5461;520;10804
"317140 VIEIRAS";-;-;3;78;1;-;5;-;1;1;65;65;71;290
"317150 MATHIAS LOBATO";-;-;1;32;3;-;1;10;-;28;1;31;11;118
"317160 VIRGEM DA LAPA";-;4;12;99;1;1;12;129;6;7;277;662;21;1231
"317170 VIRGINIA";-;-;3;-;-;-;-;7;-;-;5;79;4;98
"317180 VIRGINOPOLIS";-;1;-;36;1;-;2;6;5;3;16;1138;9;1217
"317190 VIRGOLANDIA";-;2;2;3;1;2;8;55;1;2;89;561;262;988
"317200 VISCONDE DO RIO BRANCO";1;75;491;3267;31;760;65;168;44;30;1507;3573;4936;14948
"317210 VOLTA GRANDE";-;2;39;122;-;1;1;1;1;2;19;297;19;504
"317220 WENCESLAU BRAZ";-;-;5;1;-;-;1;-;-;-;1;12;5;25
"320010 AFONSO CLAUDIO";-;22;27;103;15;433;1237;1;-;-;2;1993;47;3880
"320013 AGUIA BRANCA";-;3;3;25;3;5;9;-;-;-;-;198;18;264
"320016 AGUA DOCE DO NORTE";-;2;136;9;12;32;161;-;2;1;1;1820;167;2343
"320020 ALEGRE";4;218;186;884;5;9;367;8;-;-;3;2020;301;4005
"320030 ALFREDO CHAVES";-;18;197;330;2;14;31;-;-;-;-;137;36;765
"320035 ALTO RIO NOVO";-;4;84;27;-;2;9;-;-;-;-;93;29;248
"320040 ANCHIETA";3;98;114;274;17;167;365;-;-;-;3;895;68;2004
"320050 APIACA";-;7;299;244;1;1;17;-;-;-;8;419;352;1348
"320060 ARACRUZ";7;348;1227;1881;50;581;853;1;3;3;3;1276;91;6324
"320070 ATILIO VIVACQUA";-;5;68;426;1;9;85;-;-;-;-;472;186;1252
"320080 BAIXO GUANDU";-;23;125;42;26;28;310;4;1;1;23;880;313;1776
"320090 BARRA DE SAO FRANCISCO";-;36;93;36;357;976;1305;-;-;2;5;4998;158;7966
"320100 BOA ESPERANCA";-;19;80;11;32;8;146;1;-;2;-;224;60;583
"320110 BOM JESUS DO NORTE";-;38;282;587;24;7;781;2;-;-;10;49;48;1828
"320115 BREJETUBA";-;5;5;6;4;1;22;-;-;-;-;335;80;458
"320120 CACHOEIRO DE ITAPEMIRIM";3;1899;5286;9493;510;538;7532;-;-;6;5;4090;1232;30594
"320130 CARIACICA";17;1357;4103;3755;683;1213;2077;54;1;1;15;10031;5080;28387
"320140 CASTELO";-;79;93;281;1;4;62;-;-;2;-;324;342;1188
"320150 COLATINA";-;152;286;518;29;179;842;9;-;-;7;4062;808;6892
"320160 CONCEICAO DA BARRA";1;319;104;31;53;5;118;-;1;-;-;266;45;943
"320170 CONCEICAO DO CASTELO";-;3;11;222;3;-;30;-;-;-;-;40;10;319
"320180 DIVINO DE SAO LOURENCO";-;-;-;16;-;2;9;-;-;-;-;69;12;108
"320190 DOMINGOS MARTINS";-;9;29;123;19;7;20;-;-;-;-;323;34;564
"320200 DORES DO RIO PRETO";-;1;3;89;1;-;5;-;-;-;5;286;8;398
"320210 ECOPORANGA";-;6;81;802;3;6;202;2;-;-;1;1580;21;2704
"320220 FUNDAO";-;14;51;29;5;18;154;-;-;-;-;567;270;1108
"320225 GOVERNADOR LINDENBERG";-;5;4;5;2;2;5;-;-;-;-;57;15;95
"320230 GUACUI";-;14;44;2247;20;13;270;1;-;1;2;643;47;3302
"320240 GUARAPARI";-;69;715;210;12;21;1262;21;1;2;14;2870;141;5338
"320245 IBATIBA";-;2;6;69;3;1;445;1;-;-;7;665;11;1210
"320250 IBIRACU";-;31;89;182;-;21;69;1;-;-;-;276;24;693
"320255 IBITIRAMA";-;-;1;6;-;-;20;-;-;-;-;401;3;431
"320260 ICONHA";-;24;35;107;14;10;38;-;-;-;-;212;7;447
"320265 IRUPI";-;1;-;6;1;1;137;-;-;-;4;429;2;581
"320270 ITAGUACU";-;13;10;17;8;3;273;-;-;-;1;63;7;395
"320280 ITAPEMIRIM";-;29;217;264;37;23;372;7;-;-;4;1125;59;2137
"320290 ITARANA";-;2;173;7;3;6;11;1;-;-;-;329;34;566
"320300 IUNA";-;3;10;69;3;2;983;-;-;1;16;117;25;1229
"320305 JAGUARE";-;334;261;37;15;24;114;-;-;1;4;647;334;1771
"320310 JERONIMO MONTEIRO";-;50;35;736;9;-;498;-;-;-;-;326;183;1837
"320313 JOAO NEIVA";-;20;123;155;22;20;389;-;-;2;-;1083;96;1910
"320316 LARANJA DA TERRA";-;36;269;2;21;100;35;-;-;-;1;948;7;1419
"320320 LINHARES";-;221;1198;331;164;1289;3903;27;-;-;4;14355;2260;23752
"320330 MANTENOPOLIS";-;2;16;312;6;3;451;1;-;-;13;1732;56;2592
"320332 MARATAIZES";-;20;274;361;22;3;457;1;-;1;2;295;74;1510
"320334 MARECHAL FLORIANO";-;13;56;38;5;8;14;-;-;-;-;167;9;310
"320335 MARILANDIA";-;12;6;18;-;4;13;-;-;-;-;409;319;781
"320340 MIMOSO DO SUL";-;9;216;286;7;9;32;-;-;-;-;1171;77;1807
"320350 MONTANHA";-;318;135;92;13;14;515;-;-;-;1;237;34;1359
"320360 MUCURICI";2;29;70;52;21;12;112;-;-;-;1;109;5;413
"320370 MUNIZ FREIRE";-;4;3;59;15;8;18;-;-;-;-;327;384;818
"320380 MUQUI";-;17;704;671;8;13;149;-;-;-;-;730;188;2480
"320390 NOVA VENECIA";2;74;203;403;563;114;157;1;1;1;4;1975;14;3512
"320400 PANCAS";-;4;200;116;7;2;50;-;-;-;-;779;103;1261
"320405 PEDRO CANARIO";18;1430;21;5;14;4;713;-;-;-;-;1003;17;3225
"320410 PINHEIROS";-;176;321;3;5;10;622;-;-;1;-;820;59;2017
"320420 PIUMA";-;68;149;597;14;36;144;-;-;-;1;212;98;1319
"320425 PONTO BELO";-;32;190;96;24;36;531;-;-;-;-;627;9;1545
"320430 PRESIDENTE KENNEDY";-;2;406;50;11;13;29;-;-;1;-;100;14;626
"320435 RIO BANANAL";-;7;5;8;3;13;14;-;-;-;-;336;111;497
"320440 RIO NOVO DO SUL";-;2;120;709;6;2;59;-;-;-;1;265;69;1233
"320450 SANTA LEOPOLDINA";-;5;8;48;29;8;11;2;-;-;-;568;121;800
"320455 SANTA MARIA DE JETIBA";-;4;61;77;8;6;40;-;-;-;-;685;34;915
"320460 SANTA TERESA";-;13;26;151;17;10;102;-;-;1;1;666;60;1047
"320465 SAO DOMINGOS DO NORTE";-;-;9;137;7;1;18;-;-;-;-;635;44;851
"320470 SAO GABRIEL DA PALHA";-;48;249;134;334;9;114;2;-;2;2;1995;21;2910
"320480 SAO JOSE DO CALCADO";-;-;9;522;3;1;12;1;-;-;2;373;52;975
"320490 SAO MATEUS";2;879;1488;377;60;45;2229;4;-;2;3;6923;360;12372
"320495 SAO ROQUE DO CANAA";-;4;102;44;1;3;89;-;-;-;2;142;313;700
"320500 SERRA";4;4918;4431;4789;721;1225;17216;71;7;9;29;20333;8502;62255
"320501 SOORETAMA";2;110;502;244;33;71;319;-;-;-;-;729;29;2039
"320503 VARGEM ALTA";-;14;15;463;10;2;28;2;-;-;-;153;27;714
"320506 VENDA NOVA DO IMIGRANTE";-;5;16;153;6;6;27;-;-;1;-;106;26;346
"320510 VIANA";7;858;1374;948;91;254;844;3;-;2;-;5594;175;10150
"320515 VILA PAVAO";-;5;12;25;71;96;11;2;-;-;-;206;5;433
"320517 VILA VALERIO";-;5;75;11;5;5;46;2;1;1;-;288;11;450
"320520 VILA VELHA";11;1330;3114;2653;1582;1172;6565;42;3;8;27;16613;4540;37660
"320530 VITORIA";22;3176;4691;4031;972;1307;7605;7037;11;11;18;17751;6291;52923
" MUNICIPIO IGNORADO - RJ";-;-;-;-;-;-;2;-;-;-;-;1;-;3
